핸드폰 판매원,5
마케팅 사무원,5
건축사,5
군법무관,5
트럭운전기사,5
보험 판매원,5
대학 조교,5
트레이너,5
응답 거절,5
콘크리트공,5
가구판매원,5
대학 강사,5
조적공,5
통계사무원,5
식당 운영,5
신발제조업 생산직,5
운전원,5
철골공,5
자동차 수리공,5
화사원,5
중등교사,5
기술,5
제조업 사무직,5
"자영업,식당",5
건설노무직,5
미술강사,5
여행사사무원,5
조종사,5
식품연구원,5
임상심리사,5
MD,5
건설회사 사무원,5
단열공,5
사무경리,5
이발사,5
농업인,5
백화점 판매원,5
음식점 운영,5
일반 공무원,5
시인,5
전도사,5
사진작가,5
헬스트레이너,5
한의사,5
타일시공,5
사무관리,5
회계업무,5
인쇄업,5
전기공,5
생산관리사무원,5
자동차 영업,5
일반회사 사무직,5
영업판매원,5
자동차 검사원,4
야구선수,4
화물차운전원,4
자영업(구체적으로 거절),4
기계 시험원,4
건설,4
같은 기업인,4
큐레이터,4
없음(학생),4
손해사정사,4
무역회사 사무직,4
철물점,4
경영지원 사무원,4
슈퍼,4
음식조리원,4
스포츠 강사,4
의류 판매직,4
항공승무원,4
일반 회사원,4
보험영업원,4
슈퍼마켓운영,4
어업,4
자영업(과일가게),4
마트 계산원,4
프레스공,4
캐셔,4
소프트웨어개발자,4
대학 시간 강사,4
상담원,4
마을버스기사,4
통역사,4
경리업무,4
작곡,4
한식조리사,4
보험 설계사,4
군인(헬기조종사),4
생산직 근로자,4
방송국 근무,4
설비,4
병동 간호사,4
단순노무,4
미장,4
건설사 직원,4
자동차정비기사,4
개인택시,4
보험설계,4
신발제조기계조작원,4
자영업(식당운영),4
버스운전기사,4
일반사무원,4
조리사보조,4
방과후 교사,4
사무행정직,4
치과위생사,4
옷판매원,4
기술영업,4
홍보사무원,4
방송제작,4
연구교수,4
평교사,4
철물점 운영,4
여행사 근무,4
생산관리직,4
학생(무직),4
전기안전관리자,4
성우,4
잡지기자,4
일반교사,4
화장품 판매원,4
어부,4
설계,4
회사사무직,4
시간 강사,4
학원,4
총무,4
비파괴검사원,4
건설노동,4
가사,4
첫직장,4
건설기술자,4
회계,4
가전A/S기사,4
홀서빙,4
기계제조업공무직,4
양복점,4
컴퓨터프로그래머,4
리서치 연구원,4
세일즈,4
없다(학생),4
마트계산원,4
써빙,4
인턴,4
트럭운전사,4
회사 사무원,4
안전관리자,4
보험영업사원,4
콜센터,4
전기공사업,4
체육강사,4
구두수선,4
노가다,4
병동간호사,4
옷가게 운영,4
샷시공,4
초등학교 교사,4
관리사무원,4
소매업,4
호텔컨시어지,4
제품디자이너,4
화장품 연구원,4
치위생사,4
계산원,4
네일아티스트,4
신문사,4
여행사 운영,4
자재사무원,4
학원교사,4
상품판매원,3
기계조립,3
장사,3
미술학원 강사,3
어린이집 원장,3
회사원(제조업),3
목사,3
건축가,3
행정직공무원,3
교육강사,3
미용,3
자동차 제조업,3
설계업무,3
체육관 사범,3
메이크업 아티스트,3
의상실,3
품질관리자,3
식당경영,3
게임그래픽디자이너,3
공장 생산직,3
전기,3
행정 일반 공무원,3
단순노무자,3
배달업,3
보험,3
인테리어기사,3
미용업,3
"항해사,선장",3
운전수,3
