BE,AF
실업,고졸
공고,고졸
상고,고졸
여상,고졸
고졸,고졸
없음,없음
기계,기계
경영,경영
인문,인문
전기,전기
컴퓨터,컴퓨터
의예,의학
의학,의학
경제,경제
행정,행정
법학,법학
토목,토목
환경,환경
화학,화학
화공,화학
복지,복지
전자,전자
간호,간호
토목,건축
건축,건축
교육,교육
체육,체육
국문,국문
심리,심리
회계,회계
식품,식품
디자인,디자인
무역,무역
수학,수학
산업,산업
신문방송,신문방송
통계,통계
상업,상업
영문,영문
물리,물리
정보통신,정보통신
연극영화,연극영화
약학,약학
관광,관광
신소재,신소재
자동차,자동차
항해,항해
미용,미용
구조,구조
음악,음악
국악,음악
항공,항공
철학,철학
